dbn,school_name,school_type,enrollment,rigor_instruction_rating,collab_teachers_rating,support_environ_rating,effective_lead_rating,fam_comm_ties_rating,trust_rating,student_achieve_rating,pct_pos_rigor_instruction,pct_pos_collab_teachers,pct_pos_supportive_environ,pct_pos_effective_lead,pct_pos_fam_comm_ties,pct_pos_trust,qr_challenge_curriculum,qr_effective_teaching_learning,qr_assess_student_learning,qr_high_expectations,qr_teacher_collab,qr_dates_of_review,pct_ell,pct_disabilities,pct_self_contained,economic_need_index,pct_temp_housing,pct_hra_eligible,pct_asian,pct_black,pct_hispanic,pct_white,yrs_principal_exp,pct_teachers_>=3_yrs_exp,student_attendance_rate,pct_chronic_absent,teacher_attendance_rate,sqr_rating,borough
28Q055,P.S. 055 Maure,Elementary,441,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.85,0.96,0.85,0.96,0.94,0.98,1.0,1.0,1.0,0.5,1,October 2017,0.147,0.229,0.059,0.679,0.05,0.583,0.438,0.079,0.238,0.016,12.2,0.884,0.933,0.219,0.965,6.0,queens
28Q080,PS 80  The Thurgood Marshall Magnet School of Mult,Elementary,443,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.71,0.71,0.77,0.69,0.94,0.81,1.0,0.0,1.0,0.5,1,November 2017,0.027,0.246,0.124,0.635,0.135,0.571,0.02,0.849,0.081,0.014,7,0.718,0.924,0.271,0.957,4.0,queens
28Q082,P.S. 082 Hammond,Elementary,653,0.75,0.5,0.75,0.75,0.75,0.5,0.5,0.61,0.56,0.69,0.51,0.94,0.65,0.5,1.0,1.0,0.5,1,January 2017,0.345,0.172,0.08,0.869,0.118,0.79,0.228,0.057,0.672,0.009,3.9,0.68,0.944,0.154,0.954,4.0,queens
28Q086,P.S. Q086,Elementary,818,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.74,0.77,0.77,0.77,0.92,0.81,0.5,1.0,1.0,0.5,0.5,30-Mar-16,0.296,0.159,0.062,0.832,0.123,0.763,0.553,0.056,0.328,0.035,2.1,1,0.928,0.25,0.96,4.0,queens
28Q099,P.S. 099 Kew Gardens,Elementary,781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.93,0.94,0.93,0.97,0.95,0.5,0.5,1.0,0.5,0.5,January 2017,0.124,0.215,0.049,0.556,0.137,0.492,0.236,0.058,0.387,0.269,16.9,0.929,0.945,0.145,0.965,7.0,queens
28Q101,P.S. 101 School in the Gardens,Elementary,654,1.0,1.0,0.75,0.75,1.0,0.75,0.75,0.87,0.9,0.89,0.89,0.96,0.91,0.5,0.5,0.5,0.5,0.5,5-May-16,0.041,0.148,0.011,0.137,0.011,0.112,0.295,0.029,0.177,0.42,6.5,0.795,0.954,0.102,0.954,6.0,queens
28Q117,P.S. 117 J. Keld / Briarwood School,Elementary,905,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.79,0.78,0.79,0.94,0.81,1.0,1.0,1.0,0.5,0.5,February-19,0.144,0.209,0.101,0.673,0.076,0.588,0.331,0.094,0.371,0.148,10,0.954,0.924,0.267,0.951,4.0,queens
28Q121,P.S. 121 Queens,Elementary,847,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.9,0.93,0.91,0.95,0.96,0.95,0.5,0.5,0.5,0.5,0.5,17-May-16,0.044,0.133,0.037,0.62,0.031,0.535,0.54,0.169,0.131,0.019,7.9,0.789,0.923,0.264,0.955,7.0,queens
28Q139,P.S. 139 Rego Park,Elementary,732,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.77,0.71,0.77,0.73,0.93,0.76,1.0,1.0,1.0,0.5,0.5,March-19,0.219,0.173,0.061,0.57,0.052,0.47,0.279,0.025,0.264,0.398,3.9,0.857,0.95,0.12,0.957,4.0,queens
28Q140,P.S. 140 Edward K Ellington,Elementary,449,0.75,0.75,0.5,0.75,0.75,0.75,1.0,0.76,0.84,0.71,0.84,0.93,0.88,1.0,1.0,1.0,1.0,1,February 2017,0.069,0.225,0.1,0.785,0.214,0.719,0.073,0.653,0.214,0.027,0.3,0.694,0.907,0.364,0.97,5.0,queens
28Q144,P.S. 144 Col Jeromus Remsen,Elementary,851,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.9,0.97,0.95,0.95,0.96,0.98,1.0,1.0,1.0,0.5,1,February-19,0.052,0.145,0.021,0.213,0.019,0.137,0.345,0.012,0.179,0.383,13.1,0.963,0.954,0.09,0.956,7.0,queens
28Q157,J.H.S. 157 Stephen A. Halsey,Middle,1613,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.86,0.85,0.78,0.88,0.89,0.9,0.5,0.5,0.5,0.5,0.5,"January 6, 2015",0.1,0.139,0.048,0.468,0.045,0.383,0.244,0.081,0.232,0.407,13.9,0.75,0.95,0.129,0.969,5.0,queens
28Q160,P.S. 160 Walter Francis Bishop,Elementary,563,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.84,0.92,0.86,0.91,0.93,0.92,1.0,0.0,1.0,0.5,1,November-18,0.114,0.217,0.103,0.752,0.149,0.684,0.153,0.476,0.215,0.014,5.9,0.911,0.911,0.327,0.951,5.0,queens
28Q161,P.S. 161 Arthur Ashe School,Elementary,575,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.91,0.93,0.95,0.94,0.96,0.94,0.5,0.5,0.5,0.5,0.5,"November 7, 2014",0.104,0.134,0.003,0.722,0.052,0.65,0.685,0.064,0.13,0.028,15.1,0.961,0.936,0.197,0.967,7.0,queens
28Q167,Metropolitan Expeditionary Learning School,Middle,378,0.75,1.0,1.0,0.75,0.75,0.75,0.5,0.8,0.84,0.73,0.88,0.92,0.89,0.5,1.0,1.0,0.5,0.5,11-Feb-15,0.037,0.175,0.008,0.523,0.048,0.442,0.241,0.148,0.389,0.169,9.1,0.836,0.959,0.073,0.968,5.0,queens
28Q174,P.S. 174 William Sidney Mount,Elementary,650,0.75,0.5,0.75,0.5,1.0,0.5,0.75,0.71,0.68,0.77,0.62,0.97,0.76,1.0,1.0,1.0,0.5,1,November 2017,0.115,0.106,0.011,0.343,0.02,0.274,0.351,0.029,0.255,0.314,13.3,0.933,0.953,0.124,0.962,5.0,queens
28Q175,P.S. 175 The Lynn Gross Discovery School,Elementary,765,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.83,0.89,0.86,0.89,0.94,0.96,0.5,1.0,1.0,1.0,0.5,March 2018,0.095,0.158,0.034,0.499,0.025,0.386,0.216,0.01,0.131,0.614,0.4,0.88,0.934,0.21,0.954,6.0,queens
28Q182,P.S. 182 Samantha Smith,Elementary,718,0.75,0.75,0.75,0.75,1.0,0.75,0.5,0.74,0.82,0.72,0.8,0.95,0.9,1.0,1.0,0.5,0.5,0.5,November 2017,0.382,0.18,0.058,0.82,0.132,0.73,0.291,0.117,0.546,0.015,11.7,0.927,0.929,0.238,0.969,6.0,queens
28Q190,J.H.S. 190 Russell Sage,Middle,1082,0.75,0.75,0.5,0.5,0.5,0.5,0.75,0.78,0.8,0.61,0.78,0.84,0.8,1.0,1.0,1.0,1.0,1,November 2017,0.102,0.134,0.039,0.41,0.043,0.34,0.324,0.07,0.271,0.299,2.5,0.831,0.942,0.171,0.963,3.0,queens
28Q196,P.S. 196 Grand Central Parkway,Elementary,1004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.95,0.95,0.94,0.97,0.98,0.5,0.5,0.5,0.5,0.5,31-May-16,0.066,0.139,0.037,0.209,0.012,0.164,0.375,0.021,0.111,0.424,9.9,0.869,0.957,0.066,0.968,7.0,queens
28Q206,P.S. 206 The Horace Harding School,Elementary,577,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.88,0.94,0.87,0.94,0.95,0.95,1.0,1.0,0.0,1.0,1,December 2016,0.282,0.135,0.055,0.684,0.04,0.594,0.237,0.135,0.303,0.284,8.1,0.86,0.939,0.196,0.964,6.0,queens
28Q217,J.H.S. 217 Robert A. Van Wyck,Middle,1666,1.0,1.0,0.75,0.75,0.5,0.75,0.75,0.84,0.85,0.7,0.91,0.88,0.9,0.5,0.5,0.5,0.5,0.5,10-Mar-16,0.166,0.173,0.077,0.742,0.133,0.649,0.345,0.155,0.414,0.04,12.1,0.819,0.92,0.274,0.963,4.0,queens
28Q220,P.S. 220 Edward Mandel,Elementary,667,1.0,1.0,1.0,0.75,1.0,0.75,0.5,0.91,0.96,0.9,0.93,0.96,0.94,1.0,1.0,0.5,0.5,0.5,January-19,0.234,0.117,0.013,0.63,0.075,0.544,0.321,0.06,0.226,0.357,13.9,0.896,0.945,0.151,0.992,6.0,queens
28Q284,York Early College Academy,Middle,290,1.0,0.75,1.0,0.75,1.0,1.0,0.75,0.86,0.86,0.76,0.87,0.93,0.91,0.5,1.0,1.0,0.5,1,"January 21, 2015",0.017,0.124,0,0.483,0.041,0.386,0.252,0.503,0.086,0.01,3.6,0.933,0.958,0.1,0.97,7.0,queens
28Q287,The Emerson School,Middle,358,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.76,0.77,0.65,0.81,0.84,0.83,0.5,1.0,1.0,0.5,0,February-19,0.115,0.243,0.106,0.807,0.184,0.721,0.229,0.439,0.249,0.017,4.9,0.806,0.908,0.303,0.956,4.0,queens
28Q310,Queens Collegiate: A College Board School,Middle,253,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.78,0.79,0.65,0.8,0.85,0.85,1.0,1.0,1.0,1.0,1,April 2018,0.04,0.19,0.055,0.66,0.111,0.573,0.273,0.462,0.182,0.004,11.1,0.83,0.927,0.239,0.946,4.0,queens
28Q332,Redwood Middle School,Middle,334,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.66,0.7,0.67,0.69,0.88,0.79,1.0,1.0,1.0,1.0,1,February 2017,0.054,0.213,0.078,0.58,0.114,0.488,0.147,0.653,0.099,0.018,2,0.76,0.91,0.315,0.94,4.0,queens
