dbn,school_name,school_type,fam_comm_ties_rating,trust_rating,pct_pos_fam_comm_ties,pct_pos_trust,pct_ell,pct_disabilities,pct_self_contained,economic_need_index,pct_temp_housing,pct_hra_eligible,pct_asian,pct_black,pct_hispanic,pct_white,student_attendance_rate
31R006,P.S. 6 Corporal Allan F. Kivlehan School,Elementary,1.0,0.75,0.97,0.94,0.037,0.361,0.128,0.321,0.025,0.266,0.012,0.006,0.186,0.786,0.94
31R007,I.S. 007 Elias Bernstein,Middle,0.75,0.75,0.93,0.91,0.017,0.177,0.036,0.275,0.019,0.204,0.069,0.009,0.112,0.796,0.937
31R008,P.S. 8 Shirlee Solomon,Elementary,1.0,1.0,0.97,0.98,0.031,0.218,0.045,0.305,0.016,0.245,0.109,0.014,0.145,0.717,0.943
31R009,Naples Street Elementary School,Elementary,1.0,1.0,0.97,0.97,0.01,0.296,0.079,0.369,0.021,0.234,0.065,0.144,0.275,0.502,0.959
31R010,Fort Hill Collaborative Elementary School,Elementary,1.0,1.0,0.96,0.98,0.265,0.403,0.199,0.918,0.227,0.856,0.088,0.232,0.552,0.094,0.898
31R011,P.S. 11 Thomas Dongan School,Elementary,1.0,0.75,0.98,0.9,0.141,0.245,0.072,0.68,0.076,0.625,0.09,0.177,0.394,0.321,0.937
31R013,P.S. 013 M. L. Lindemeyer,Elementary,1.0,1.0,0.96,0.94,0.181,0.249,0.064,0.68,0.074,0.612,0.203,0.136,0.453,0.175,0.933
31R016,P.S. 016 John J. Driscoll,Elementary,0.75,0.75,0.95,0.94,0.3,0.361,0.218,0.926,0.207,0.868,0.057,0.284,0.555,0.08,0.908
31R018,P.S. 018 John G. Whittier,Elementary,0.5,0.5,0.9,0.84,0.08,0.401,0.176,0.934,0.236,0.892,0.052,0.445,0.443,0.035,0.899
31R019,P.S. 019 The Curtis School,Elementary,1.0,0.75,0.98,0.9,0.188,0.305,0.125,0.845,0.1,0.795,0.061,0.137,0.699,0.072,0.917
