dbn,school_name,school_type,fam_comm_ties_rating,trust_rating,pct_pos_fam_comm_ties,pct_pos_trust,pct_ell,pct_disabilities,pct_self_contained,economic_need_index,pct_temp_housing,pct_hra_eligible,pct_asian,pct_black,pct_hispanic,pct_white,student_attendance_rate
02M150,P.S. 150,Elementary,1.0,1.0,0.98,0.97,0.023,0.146,0.006,0.136,0,0.076,0.222,0.006,0.094,0.591,0.962
02M151,Yorkville Community School,Elementary,1.0,1.0,0.98,0.96,0.047,0.213,0.002,0.414,0.119,0.355,0.061,0.161,0.236,0.486,0.933
02M158,P.S. 158 Bayard Taylor,Elementary,1.0,0.75,0.96,0.94,0.059,0.16,0.003,0.108,0.015,0.073,0.126,0.022,0.081,0.706,0.952
02M167,J.H.S. 167 Robert F. Wagner,Middle,0.5,0.75,0.85,0.86,0.03,0.178,0.016,0.292,0.044,0.229,0.181,0.07,0.162,0.533,0.957
02M177,Yorkville East Middle School,Middle,0.75,0.75,0.93,0.91,0.013,0.261,0,0.264,0.026,0.204,0.065,0.087,0.23,0.578,0.949
02M183,P.S. 183 Robert L. Stevenson,Elementary,1.0,0.75,0.99,0.92,0.066,0.179,0.006,0.064,0.004,0.041,0.156,0.025,0.084,0.677,0.958
02M198,P.S. 198 Isador E. Ida Straus,Elementary,1.0,1.0,0.98,0.93,0.067,0.241,0.009,0.367,0.072,0.301,0.231,0.111,0.218,0.403,0.946
02M212,P.S. 212 Midtown West,Elementary,1.0,1.0,0.97,0.97,0.024,0.138,0.003,0.277,0.024,0.144,0.147,0.07,0.242,0.471,0.95
02M217,P.S./I.S. 217 Roosevelt Island,K-8,1.0,0.75,0.96,0.9,0.148,0.15,0.01,0.295,0.032,0.198,0.287,0.14,0.15,0.358,0.949
02M225,Ella Baker School,K-8,1.0,0.75,0.97,0.88,0.017,0.238,0.007,0.387,0.052,0.227,0.052,0.168,0.329,0.343,0.929
02M234,P.S. 234 Independence School,Elementary,1.0,1.0,0.97,0.98,0.013,0.179,0.008,0.083,0.003,0.05,0.088,0.017,0.088,0.723,0.954
02M255,M.S. 255 Salk School of Science,Middle,1.0,1.0,0.95,0.97,0.003,0.155,0,0.145,0.013,0.061,0.183,0.02,0.096,0.619,0.971
02M260,The Clinton School,Middle,0.5,0.75,0.83,0.86,0,0.143,0,0.164,0.017,0.092,0.15,0.017,0.096,0.648,0.975
02M267,"East Side Elementary School, PS 267",Elementary,1.0,0.75,0.95,0.91,0.046,0.147,0.002,0.11,0.017,0.075,0.126,0.01,0.104,0.734,0.953
02M276,Battery Park City School,K-8,1.0,0.75,0.95,0.9,0.032,0.201,0.002,0.147,0.016,0.108,0.203,0.04,0.136,0.531,0.953
02M281,The River School,Elementary,1.0,1.0,0.98,0.93,0.195,0.175,0.007,0.213,0.046,0.166,0.321,0.093,0.136,0.411,0.948
02M289,I.S. 289,Middle,0.75,0.75,0.92,0.88,0.049,0.229,0,0.484,0.095,0.398,0.486,0.042,0.148,0.296,0.968
02M290,P.S. 290 Manhattan New School,Elementary,1.0,0.5,0.96,0.84,0.023,0.17,0,0.092,0.002,0.081,0.108,0.03,0.091,0.713,0.96
02M297,M.S. 297,Middle,0.75,0.75,0.92,0.87,0.034,0.23,0.007,0.321,0.068,0.242,0.086,0.094,0.23,0.545,0.941
02M312,New York City Lab Middle School for Collaborative,Middle,0.75,1.0,0.92,0.92,0.016,0.144,0.005,0.383,0.016,0.275,0.639,0.012,0.053,0.233,0.982
02M340,Sixth Avenue Elementary School,Elementary,1.0,0.75,0.97,0.95,0.015,0.217,0.004,0.137,0.007,0.079,0.086,0.03,0.124,0.629,0.95
02M343,The Peck Slip School,Elementary,1.0,0.75,0.97,0.93,0.019,0.204,0.002,0.118,0.019,0.09,0.157,0.044,0.137,0.546,0.956
02M347,The 47 American Sign Language & English Lower Scho,K-8,0.5,0.5,0.89,0.73,0.277,0.569,0,0.844,0.241,0.796,0.029,0.27,0.518,0.153,0.904
02M397,Spruce Street School,K-8,1.0,0.75,0.96,0.88,0.026,0.225,0.011,0.17,0.03,0.127,0.162,0.041,0.159,0.533,0.949
02M408,Professional Performing Arts High School,Middle,0.75,0.75,0.87,0.86,0,0.179,0,0.335,0.024,0.228,0.049,0.146,0.187,0.52,0.946
02M413,School of the Future High School,Middle,0.75,0.75,0.9,0.83,0.013,0.247,0,0.426,0.069,0.342,0.234,0.115,0.211,0.336,0.968
02M422,Quest to Learn,Middle,0.75,0.75,0.88,0.91,0.054,0.287,0.006,0.72,0.21,0.635,0.156,0.251,0.437,0.126,0.907
02M442,"Ballet Tech, NYC Public School for Dance",K-8,1.0,1.0,0.97,0.94,0.028,0.049,0,0.466,0.056,0.352,0.275,0.176,0.246,0.218,0.965
02M527,P.S. 527 - East Side School for Social Action,Elementary,1.0,1.0,0.98,0.98,0.039,0.183,0.002,0.177,0.039,0.13,0.125,0.039,0.142,0.58,0.955
02M896,Lower Manhattan Community Middle School,Middle,1.0,1.0,0.96,0.96,0.06,0.294,0.003,0.554,0.068,0.465,0.431,0.101,0.158,0.27,0.965
02M933,City Knoll Middle School,Middle,0.75,0.5,0.88,0.81,0.114,0.331,0.063,0.768,0.263,0.68,0.08,0.246,0.577,0.057,0.915
03M009,P.S. 009 Sarah Anderson,Elementary,1.0,1.0,0.97,0.98,0.024,0.196,0,0.19,0.076,0.128,0.084,0.049,0.184,0.59,0.955
03M054,J.H.S. 054 Booker T. Washington,Middle,0.75,0.75,0.93,0.9,0.012,0.143,0.039,0.234,0.023,0.144,0.116,0.077,0.157,0.564,0.963
03M075,P.S. 075 Emily Dickinson,Elementary,1.0,0.75,0.97,0.92,0.153,0.431,0.071,0.671,0.181,0.571,0.026,0.215,0.553,0.172,0.933
03M076,P.S. 076 A. Philip Randolph,K-8,1.0,1.0,0.95,0.92,0.084,0.272,0.049,0.907,0.314,0.837,0.002,0.733,0.225,0.032,0.892
03M084,P.S. 084 Lillian Weber,Elementary,0.75,0.75,0.94,0.93,0.081,0.191,0.064,0.403,0.08,0.302,0.032,0.076,0.343,0.502,0.942
03M087,P.S. 087 William Sherman,Elementary,1.0,0.75,0.98,0.9,0.031,0.192,0.01,0.132,0.022,0.074,0.08,0.031,0.143,0.649,0.954
03M145,"P.S. 145, The Bloomingdale School",Elementary,1.0,0.75,0.96,0.85,0.13,0.318,0.092,0.835,0.283,0.754,0.012,0.257,0.598,0.116,0.884
03M149,P.S. 149 Sojourner Truth,K-8,0.75,0.75,0.93,0.86,0.194,0.277,0.053,0.932,0.243,0.874,0.044,0.597,0.286,0.049,0.943
03M163,P.S. 163 Alfred E. Smith,Elementary,0.75,0.5,0.94,0.84,0.058,0.196,0.008,0.503,0.112,0.396,0.063,0.192,0.406,0.281,0.935
03M165,P.S. 165 Robert E. Simon,Elementary,1.0,0.75,0.96,0.89,0.119,0.203,0.061,0.674,0.218,0.565,0.038,0.134,0.585,0.228,0.914
03M166,P.S. 166 The Richard Rodgers School of The Arts an,Elementary,1.0,0.5,0.96,0.73,0.024,0.089,0.003,0.15,0.019,0.11,0.124,0.042,0.168,0.572,0.961
03M180,P.S. 180 Hugo Newman,K-8,0.75,0.5,0.94,0.77,0.091,0.233,0.03,0.728,0.165,0.64,0.03,0.53,0.293,0.086,0.906
03M185,The Locke School of Arts and Engineering,Elementary,1.0,0.75,0.96,0.87,0.063,0.257,0.11,0.865,0.117,0.797,0.023,0.583,0.333,0.03,0.913
03M191,The Riverside School for Makers and Artists,K-8,1.0,0.75,0.96,0.85,0.082,0.278,0.101,0.753,0.219,0.669,0.057,0.345,0.488,0.086,0.903
03M199,P.S. 199 Jessie Isador Straus,Elementary,1.0,0.75,0.97,0.88,0.027,0.187,0.018,0.127,0.013,0.074,0.161,0.045,0.094,0.625,0.959
03M241,STEM Institute of Manhattan,Elementary,0.5,0.5,0.89,0.66,0.15,0.353,0.083,0.882,0.226,0.827,0.038,0.504,0.361,0.09,0.92
03M242,P.S. 242 - The Young Diplomats Magnet Academy,Elementary,0.75,0.75,0.94,0.9,0.083,0.38,0.058,0.842,0.298,0.769,0,0.603,0.347,0.008,0.905
03M243,M.S. 243 Center School,Middle,1.0,1.0,0.94,0.95,0,0.187,0,0.208,0.017,0.112,0.062,0.137,0.191,0.548,0.971
03M245,M.S. M245 The Computer School,Middle,0.75,1.0,0.93,0.92,0.017,0.216,0.015,0.335,0.042,0.243,0.077,0.127,0.29,0.444,0.961
03M247,M.S. M247 Dual Language Middle School,Middle,1.0,1.0,0.98,0.92,0.25,0.264,0.005,0.856,0.159,0.805,0.009,0.014,0.955,0.023,0.953
03M250,M.S. 250 West Side Collaborative Middle School,Middle,1.0,1.0,0.95,0.95,0.068,0.296,0.006,0.749,0.154,0.642,0.006,0.37,0.5,0.08,0.911
03M256,Lafayette Academy,Middle,1.0,1.0,0.95,0.96,0.124,0.203,0,0.746,0.203,0.608,0.007,0.477,0.359,0.124,0.924
03M258,Community Action School - MS 258,Middle,1.0,0.75,0.95,0.92,0.046,0.255,0.042,0.806,0.172,0.695,0.025,0.351,0.536,0.079,0.927
03M291,West End Secondary School,Middle,1.0,1.0,0.96,0.92,0.006,0.223,0,0.201,0.041,0.108,0.08,0.045,0.201,0.64,0.96
03M333,P.S. 333 Manhattan School for Children,K-8,0.75,0.5,0.94,0.76,0.021,0.215,0.004,0.283,0.028,0.149,0.065,0.128,0.16,0.583,0.94
03M334,The Anderson School,K-8,1.0,0.75,0.96,0.88,0.002,0.084,0,0.143,0.002,0.071,0.291,0.025,0.09,0.479,0.973
03M415,Wadleigh Secondary School for the Performing & Vis,Middle,1.0,0.75,0.98,0.86,0.047,0.267,0.012,0.913,0.337,0.86,0.012,0.488,0.442,0.023,0.892
03M421,West Prep Academy,Middle,0.75,0.75,0.91,0.9,0.098,0.333,0.054,0.858,0.235,0.779,0.005,0.52,0.441,0.025,0.91
03M452,P.S. 452,Elementary,1.0,0.75,0.97,0.9,0.053,0.205,0.009,0.312,0.053,0.242,0.106,0.14,0.158,0.568,0.944
03M859,Special Music School,K-8,0.75,1.0,0.93,0.91,0,0.09,0,0.223,0.015,0.09,0.195,0.09,0.12,0.459,0.963
03M860,Frederick Douglass Academy II Secondary School,Middle,0.75,0.75,0.9,0.82,0.083,0.306,0.014,0.855,0.194,0.736,0.014,0.597,0.292,0.028,0.88
03M862,Mott Hall II,Middle,1.0,0.75,0.94,0.9,0.037,0.241,0.03,0.62,0.154,0.479,0.028,0.255,0.498,0.164,0.953
04M007,P.S. 007 Samuel Stern,K-8,0.5,0.5,0.87,0.79,0.098,0.288,0.103,0.939,0.27,0.876,0.037,0.302,0.611,0.026,0.875
04M012,Tag Young Scholars,K-8,0.75,0.5,0.9,0.8,0.008,0.052,0,0.381,0.025,0.231,0.413,0.161,0.151,0.173,0.968
04M037,River East Elementary,Elementary,1.0,1.0,0.95,0.97,0.057,0.303,0.026,0.87,0.211,0.763,0,0.412,0.522,0.035,0.903
04M038,P.S. 38 Roberto Clemente,Elementary,0.75,0.75,0.93,0.87,0.149,0.376,0.129,0.974,0.431,0.911,0.015,0.356,0.594,0.025,0.887
04M057,James Weldon Johnson,K-8,0.5,0.5,0.9,0.73,0.119,0.291,0.081,0.94,0.324,0.848,0.043,0.256,0.671,0.016,0.907
04M072,The Lexington Academy,K-8,0.75,0.75,0.9,0.81,0.111,0.272,0.088,0.913,0.303,0.834,0.028,0.161,0.781,0.022,0.893
04M083,P.S. 083 Luis Munoz Rivera,Elementary,1.0,1.0,0.97,0.96,0.099,0.272,0.091,0.81,0.138,0.723,0.089,0.193,0.692,0.018,0.925
04M096,P.S. 096 Joseph Lanzetta,K-8,0.75,0.75,0.91,0.86,0.226,0.341,0.106,0.964,0.267,0.91,0.019,0.24,0.692,0.025,0.906
04M102,P.S. 102 Jacques Cartier,Elementary,0.5,0.25,0.89,0.65,0.113,0.304,0.117,0.837,0.213,0.746,0.1,0.313,0.475,0.058,0.908
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,K-8,0.75,1.0,0.95,0.92,0.077,0.345,0.094,0.942,0.225,0.892,0.034,0.336,0.59,0.026,0.889
04M146,P.S. 146 Ann M. Short,Elementary,1.0,1.0,0.98,0.96,0.199,0.458,0.182,0.957,0.339,0.926,0.048,0.229,0.696,0.024,0.907
04M155,P.S. 155 William Paca,Elementary,0.5,0.5,0.9,0.77,0.438,0.378,0.157,0.973,0.226,0.945,0.009,0.078,0.88,0.005,0.918
04M171,P.S. 171 Patrick Henry,K-8,1.0,1.0,0.97,0.9,0.03,0.231,0.011,0.784,0.128,0.617,0.079,0.279,0.577,0.037,0.925
04M182,The Bilingual Bicultural School,Elementary,0.75,0.75,0.95,0.94,0.344,0.284,0.004,0.936,0.358,0.856,0.004,0.06,0.933,0.004,0.919
04M206,P.S. 206 Jose Celso Barbosa,K-8,0.75,0.75,0.94,0.87,0.149,0.442,0.059,0.874,0.174,0.788,0.019,0.245,0.673,0.042,0.919
04M224,M.S. 224 Manhattan East School for Arts & Academic,Middle,0.75,0.75,0.89,0.87,0.054,0.286,0.114,0.723,0.135,0.589,0.108,0.297,0.454,0.103,0.942
04M372,Esperanza Preparatory Academy,Middle,0.75,0.75,0.88,0.86,0.307,0.34,0.042,0.908,0.223,0.814,0.047,0.121,0.805,0.019,0.923
04M375,Mosaic Preparatory Academy,Elementary,0.75,0.5,0.93,0.76,0.107,0.387,0.092,0.953,0.369,0.911,0.018,0.387,0.539,0.011,0.864
04M377,Renaissance School of the Arts,Middle,0.75,0.75,0.94,0.9,0.071,0.28,0.06,0.947,0.28,0.887,0.012,0.399,0.554,0.012,0.918
04M497,Central Park East I,Elementary,0.75,0.75,0.97,0.85,0.058,0.276,0,0.514,0.09,0.288,0.103,0.135,0.391,0.288,0.93
04M610,Young Women's Leadership School,Middle,0.75,1.0,0.89,0.94,0.036,0.187,0,0.816,0.169,0.693,0.072,0.289,0.59,0.024,0.955
04M825,Isaac Newton Middle School for Math & Science,Middle,0.75,0.75,0.92,0.88,0.129,0.288,0.008,0.894,0.204,0.804,0.054,0.217,0.704,0.017,0.926
04M964,Central Park East II,K-8,0.75,0.75,0.94,0.88,0.033,0.283,0.02,0.661,0.111,0.502,0.053,0.319,0.409,0.148,0.923
05M030,P.S. 030 Hernandez/Hughes,Elementary,1.0,0.75,0.96,0.94,0.099,0.265,0.121,0.949,0.269,0.906,0.018,0.408,0.529,0.031,0.9
05M036,P.S. 036 Margaret Douglas,Elementary,1.0,0.5,0.96,0.8,0.105,0.409,0.259,0.905,0.203,0.846,0.014,0.402,0.573,0.01,0.906
05M046,P.S. 046 Arthur Tappan,K-8,1.0,0.75,0.96,0.86,0.102,0.351,0.15,0.954,0.269,0.884,0.01,0.477,0.492,0.01,0.886
05M092,P.S. 092 Mary McLeod Bethune,Elementary,0.75,0.75,0.93,0.88,0.075,0.415,0.183,0.955,0.398,0.884,0.008,0.631,0.34,0.012,0.894
05M123,P.S. 123 Mahalia Jackson,K-8,0.75,0.75,0.95,0.85,0.182,0.277,0.097,0.944,0.355,0.884,0.021,0.493,0.417,0.038,0.907
05M125,P.S. 125 Ralph Bunche,Elementary,1.0,0.75,0.97,0.91,0.024,0.212,0.124,0.697,0.096,0.56,0.036,0.404,0.368,0.148,0.904
05M129,P.S. 129 John H. Finley,K-8,0.75,0.75,0.93,0.84,0.084,0.319,0.162,0.922,0.255,0.852,0.02,0.49,0.441,0.017,0.892
05M133,P.S. 133 Fred R Moore,Elementary,0.5,0.75,0.88,0.89,0.111,0.475,0.338,0.934,0.278,0.879,0.04,0.429,0.465,0.035,0.895
05M148,Eagle Academy for Young Men of Harlem,Middle,0.75,0.75,0.87,0.84,0.06,0.35,0.087,0.848,0.219,0.732,0.011,0.656,0.268,0.016,0.885
05M154,P.S. 154 Harriet Tubman,Elementary,0.75,0.75,0.92,0.86,0.198,0.321,0.148,0.956,0.321,0.895,0.072,0.532,0.333,0.046,0.916
05M161,P.S. 161 Pedro Albizu Campos,K-8,0.75,0.75,0.91,0.85,0.242,0.268,0.115,0.931,0.3,0.856,0.017,0.203,0.746,0.025,0.897
05M175,P.S. 175 Henry H Garnet,Elementary,0.75,0.75,0.95,0.85,0.14,0.243,0.086,0.916,0.292,0.864,0.047,0.561,0.342,0.03,0.905
05M194,P.S. 194 Countee Cullen,Elementary,0.75,0.5,0.93,0.78,0.164,0.317,0.087,0.958,0.377,0.923,0.011,0.568,0.35,0.033,0.916
05M197,P.S. 197 John B. Russwurm,Elementary,1.0,1.0,0.99,0.99,0.073,0.34,0.116,0.947,0.363,0.876,0.008,0.595,0.375,0.019,0.886
05M200,P.S. 200- The James McCune Smith School,Elementary,0.75,0.75,0.91,0.91,0.109,0.328,0.178,0.935,0.275,0.9,0.003,0.65,0.303,0.016,0.876
05M286,Urban Assembly Academy for Future Leaders,Middle,0.75,0.75,0.92,0.84,0.088,0.432,0.192,0.924,0.288,0.832,0.024,0.544,0.376,0.032,0.861
05M318,Thurgood Marshall Academy Lower School,Elementary,1.0,1.0,0.97,0.95,0.01,0.224,0.014,0.828,0.181,0.719,0.019,0.795,0.171,0,0.907
05M362,Columbia Secondary School,Middle,0.75,0.75,0.9,0.9,0.007,0.212,0.034,0.557,0.104,0.387,0.071,0.239,0.38,0.253,0.963
05M499,Frederick Douglass Academy,Middle,0.25,0.5,0.82,0.81,0.087,0.272,0.105,0.888,0.203,0.815,0,0.659,0.297,0.022,0.919
05M514,New Design Middle School,Middle,1.0,0.5,0.97,0.81,0.106,0.437,0.204,0.932,0.275,0.873,0.007,0.62,0.338,0.028,0.848
05M517,Teachers College Community School,K-8,1.0,0.75,0.95,0.89,0.017,0.198,0.007,0.624,0.089,0.478,0.027,0.379,0.413,0.123,0.943
05M670,Thurgood Marshall Academy for Learning and Social,Middle,0.75,0.75,0.87,0.89,0.052,0.287,0.034,0.832,0.195,0.718,0.023,0.73,0.207,0.023,0.942
06M004,P.S. 004 Duke Ellington,Elementary,1.0,0.75,0.96,0.88,0.31,0.286,0.089,0.913,0.214,0.853,0.017,0.074,0.9,0,0.921
06M005,P.S. 005 Ellen Lurie,Elementary,1.0,1.0,0.96,0.94,0.438,0.256,0.081,0.895,0.14,0.82,0.004,0.06,0.924,0.004,0.925
06M008,P.S. 008 Luis Belliard,Elementary,1.0,0.75,0.97,0.89,0.395,0.221,0.061,0.907,0.144,0.843,0.002,0.02,0.963,0.015,0.933
06M018,P.S. 018 Park Terrace,K-8,1.0,1.0,0.95,0.96,0.277,0.21,0.095,0.901,0.37,0.779,0.003,0.022,0.964,0.011,0.942
06M028,P.S. 028 Wright Brothers,Elementary,0.75,1.0,0.94,0.96,0.4,0.312,0.151,0.948,0.326,0.877,0.009,0.139,0.805,0.04,0.924
06M048,P.S. 048 P.O. Michael J. Buczek,Elementary,0.75,0.75,0.91,0.86,0.351,0.276,0.081,0.877,0.251,0.767,0.016,0.014,0.932,0.036,0.941
06M052,Harold O. Levy School,Middle,1.0,0.75,0.95,0.88,0.467,0.253,0.107,0.924,0.215,0.858,0,0.034,0.95,0.008,0.919
06M098,P.S. 098 Shorac Kappock,Elementary,0.75,0.5,0.92,0.77,0.387,0.204,0.064,0.865,0.23,0.768,0,0.011,0.938,0.042,0.914
06M103,Dos Puentes Elementary School,Elementary,1.0,1.0,0.97,0.97,0.291,0.257,0.002,0.66,0.243,0.505,0.002,0.027,0.767,0.187,0.953
06M115,P.S. 115 Alexander Humboldt,Elementary,0.75,1.0,0.95,0.95,0.292,0.215,0.1,0.92,0.28,0.844,0.012,0.007,0.945,0.031,0.907
06M128,P.S. 128 Audubon,Elementary,1.0,0.75,0.95,0.95,0.249,0.234,0.112,0.864,0.342,0.734,0.01,0.034,0.933,0.015,0.919
06M132,P.S. 132 Juan Pablo Duarte,Elementary,0.75,0.75,0.91,0.84,0.457,0.271,0.15,0.913,0.291,0.854,0,0.02,0.964,0.016,0.932
06M143,J.H.S. 143 Eleanor Roosevelt,Middle,0.5,1.0,0.89,0.94,0.587,0.312,0.178,0.937,0.198,0.899,0.012,0.032,0.903,0.04,0.921
06M152,P.S. 152 Dyckman Valley,Elementary,1.0,1.0,0.96,0.93,0.304,0.217,0.109,0.931,0.471,0.799,0.004,0.03,0.936,0.01,0.929
06M153,P.S. 153 Adam Clayton Powell,Elementary,1.0,0.75,0.97,0.89,0.333,0.161,0.043,0.901,0.252,0.825,0.024,0.171,0.76,0.037,0.927
06M173,P.S. 173,Elementary,1.0,1.0,0.96,0.95,0.163,0.217,0.075,0.799,0.114,0.696,0.036,0.032,0.915,0.015,0.925
06M178,Professor Juan Bosch Public School,Elementary,1.0,1.0,0.98,0.98,0.109,0.257,0.011,0.671,0.165,0.525,0.011,0.021,0.803,0.151,0.945
06M187,P.S./I.S. 187 Hudson Cliffs,K-8,1.0,0.75,0.96,0.87,0.04,0.174,0.009,0.403,0.052,0.273,0.049,0.037,0.483,0.386,0.947
06M189,P.S. 189,Elementary,1.0,0.75,0.96,0.91,0.27,0.215,0.08,0.899,0.171,0.813,0.006,0.015,0.942,0.037,0.927
06M192,P.S. 192 Jacob H. Schiff,Elementary,0.75,0.75,0.95,0.91,0.332,0.242,0.149,0.862,0.172,0.784,0.003,0.087,0.875,0.032,0.913
06M209,Hamilton Grange Middle School,Middle,0.75,0.75,0.92,0.83,0.207,0.224,0.003,0.852,0.18,0.753,0.017,0.102,0.827,0.034,0.94
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,K-8,1.0,1.0,0.95,0.92,0.399,0.244,0.002,0.883,0.142,0.802,0.005,0.015,0.98,0,0.938
06M223,The Mott Hall School,Middle,0.75,1.0,0.93,0.93,0.023,0.143,0.04,0.747,0.09,0.603,0.027,0.08,0.81,0.063,0.952
06M278,Paula Hedbavny School,K-8,0.75,1.0,0.95,0.93,0.149,0.207,0.029,0.63,0.098,0.505,0.025,0.025,0.768,0.16,0.944
06M293,City College Academy of the Arts,Middle,0.75,0.75,0.91,0.88,0.088,0.156,0.004,0.821,0.126,0.718,0.008,0.027,0.947,0.015,0.956
06M311,Amistad Dual Language School,K-8,1.0,1.0,0.95,0.93,0.285,0.196,0.025,0.759,0.2,0.656,0.01,0.02,0.923,0.042,0.955
06M314,Muscota,Elementary,1.0,1.0,0.98,0.98,0.061,0.193,0.003,0.412,0.027,0.247,0.041,0.03,0.456,0.409,0.955
06M319,M.S. 319 - Maria Teresa,Middle,1.0,1.0,0.96,0.92,0.392,0.265,0.117,0.904,0.19,0.816,0,0.031,0.961,0.008,0.959
06M322,Middle School 322,Middle,1.0,1.0,0.98,0.92,0.425,0.24,0.078,0.91,0.378,0.808,0.008,0.04,0.938,0.013,0.925
06M324,M.S. 324 - Patria Mirabal,Middle,0.5,0.75,0.87,0.91,0.338,0.309,0.124,0.9,0.203,0.829,0.009,0.115,0.841,0.032,0.93
06M328,Community Math & Science Prep,Middle,1.0,0.75,0.96,0.88,0.514,0.367,0.138,0.93,0.276,0.857,0.029,0.086,0.848,0.038,0.887
06M346,Community Health Academy of the Heights,Middle,1.0,1.0,0.93,0.95,0.18,0.263,0.054,0.891,0.133,0.813,0.004,0.094,0.878,0.022,0.937
06M348,Washington Heights Expeditionary Learning School,K-8,0.75,1.0,0.89,0.92,0.229,0.244,0.031,0.82,0.131,0.718,0.018,0.024,0.891,0.058,0.935
06M349,Harbor Heights,Middle,1.0,1.0,0.95,0.9,0.922,0.023,0.008,0.905,0.372,0.775,0,0,1,0,0.932
06M366,Washington Heights Academy,K-8,1.0,0.75,0.96,0.89,0.131,0.204,0,0.792,0.105,0.693,0.021,0.017,0.942,0.017,0.934
06M368,Hamilton Heights School,Elementary,1.0,1.0,0.98,0.98,0.168,0.208,0.007,0.693,0.268,0.523,0.034,0.201,0.497,0.208,0.933
06M513,Castle Bridge School,Elementary,1.0,0.75,0.98,0.91,0.38,0.365,0.016,0.676,0.182,0.531,0.016,0.057,0.708,0.177,0.945
06M528,I.S. 528 Bea Fuller Rodgers School,Middle,1.0,1.0,0.96,0.92,0.275,0.189,0.004,0.902,0.189,0.833,0.009,0.009,0.974,0.009,0.972
07X001,P.S. 001 Courtlandt School,Elementary,0.75,0.75,0.91,0.84,0.282,0.275,0.11,0.963,0.253,0.912,0.005,0.23,0.752,0.011,0.902
07X005,P.S. 5 Port Morris,K-8,0.5,0.5,0.89,0.75,0.257,0.257,0.123,0.948,0.326,0.884,0.004,0.274,0.69,0.024,0.896
07X018,P.S. 018 John Peter Zenger,Elementary,1.0,1.0,0.96,0.93,0.297,0.301,0.136,0.968,0.303,0.913,0.013,0.255,0.682,0.039,0.901
07X025,P.S. 025 Bilingual School,Elementary,1.0,0.75,0.95,0.91,0.204,0.344,0.255,0.921,0.193,0.847,0.008,0.1,0.876,0.01,0.913
07X029,P.S./M.S. 029 Melrose School,K-8,0.75,0.5,0.9,0.77,0.158,0.242,0.069,0.932,0.204,0.871,0.015,0.318,0.64,0.014,0.901
07X030,P.S. 030 Wilton,Elementary,1.0,0.75,0.96,0.9,0.247,0.26,0.104,0.955,0.267,0.883,0.009,0.225,0.733,0.022,0.898
07X031,P.S./M.S. 031 The William Lloyd Garrison,K-8,0.5,0.75,0.9,0.86,0.142,0.241,0.071,0.92,0.289,0.85,0.03,0.27,0.652,0.035,0.924
07X043,P.S. 043 Jonas Bronck,Elementary,0.75,0.75,0.93,0.95,0.159,0.249,0.075,0.939,0.254,0.872,0.003,0.251,0.735,0.008,0.909
07X049,P.S. 049 Willis Avenue,Elementary,1.0,0.75,0.95,0.9,0.155,0.334,0.11,0.953,0.251,0.878,0.002,0.281,0.701,0.009,0.917
07X065,P.S. 065 Mother Hale Academy,Elementary,0.75,0.75,0.93,0.88,0.14,0.287,0.111,0.975,0.468,0.904,0.02,0.307,0.652,0.009,0.88
07X151,J.H.S. 151 Lou Gehrig,Middle,1.0,0.75,0.97,0.92,0.322,0.278,0.087,0.949,0.383,0.839,0.004,0.243,0.722,0.026,0.887
07X154,P.S. 154 Jonathan D. Hyatt,Elementary,1.0,0.75,0.95,0.93,0.097,0.248,0.02,0.95,0.201,0.899,0.003,0.416,0.557,0.01,0.936
07X157,P.S. 157 Grove Hill,Elementary,0.75,0.75,0.92,0.91,0.086,0.225,0.09,0.918,0.26,0.85,0.002,0.299,0.649,0.003,0.883
07X161,P.S. 161 Juan Ponce De Leon School,Elementary,0.75,0.75,0.92,0.86,0.171,0.301,0.099,0.954,0.255,0.888,0.003,0.209,0.758,0.02,0.898
07X179,P.S. 179,Elementary,0.75,1.0,0.94,0.94,0.241,0.248,0.097,0.947,0.255,0.885,0.011,0.155,0.809,0.011,0.898
07X221,South Bronx Preparatory: A College Board School,Middle,0.75,1.0,0.88,0.93,0.093,0.295,0.082,0.937,0.187,0.836,0.015,0.231,0.72,0.022,0.945
07X223,The Laboratory School of Finance and Technology: X,Middle,0.75,0.75,0.87,0.86,0.092,0.224,0.054,0.924,0.136,0.847,0.01,0.143,0.827,0.014,0.936
07X224,P.S./I.S. 224,Middle,0.75,0.5,0.93,0.71,0.192,0.308,0.104,0.965,0.268,0.902,0.003,0.256,0.726,0.015,0.889
07X277,P.S. 277,Elementary,0.75,0.5,0.94,0.79,0.185,0.272,0.032,0.941,0.272,0.873,0.008,0.227,0.731,0.011,0.888
07X296,South Bronx Academy for Applied Media,Middle,0.75,0.75,0.9,0.9,0.156,0.333,0.087,0.929,0.281,0.848,0.017,0.303,0.662,0,0.9
07X298,Academy of Public Relations,Middle,0.75,0.75,0.92,0.86,0.293,0.327,0.143,0.946,0.271,0.891,0,0.226,0.752,0.011,0.903
07X343,Academy of Applied Mathematics and Technology,Middle,0.75,0.75,0.92,0.9,0.117,0.27,0.094,0.932,0.15,0.866,0.02,0.283,0.681,0.01,0.925
